Product ID;Product Category;Product Subcategory;Product Name;Product Description;Product Price;Product Weight;Product Size;Order ID;Customer ID;Order Date;Order Status;Order Quantity;Order Total;Payment Method
1001;Mountain Bikes;Cross Country;TrailBlazer 1000;Lightweight And Versatile;1200.00;25.0;M;2001;3001;1/03/2023;Shipped;2;2400.00;Credit Card
1002;Mountain Bikes;Cross Country;TrailBlazer 2000;High-Performance Mountain Bike;1500.00;22.0;L;2002;3002;2/03/2023;Processing;1;1500.00;PayPal
1003;Road Bikes;Racing;SpeedMaster 1000;Agile And Aerodynamic Road Bike;1800.00;18.0;S;2003;3003;3/03/2023;Cancelled;3;5400.00;Credit Card
1004;Road Bikes;Racing;SpeedMaster 2000;Premium Racing Road Bike;2100.00;16.0;L;2004;3004;4/03/2023;Shipped;1;2100.00;Credit Card
1005;Touring Bikes;Long Distance;Explorer 1000;Comfortable And Durable Touring Bike;1300.00;27.0;M;2005;3005;5/03/2023;Processing;2;2600.00;PayPal
1006;Touring Bikes;Long Distance;Explorer 2000;Advanced Touring Bike;1600.00;24.0;L;2006;3006;6/03/2023;Shipped;1;1600.00;Credit Card
1007;Mountain Bikes;Downhill;GravityMaster 1000;Rugged And Durable Downhill Bike;2200.00;29.0;M;2007;3007;7/03/2023;Shipped;2;4400.00;PayPal
1008;Mountain Bikes;Downhill;GravityMaster 2000;Rugged And Durable Downhill Bike;2500.00;27.0;L;2008;3008;8/03/2023;Processing;1;2500.00;Credit Card
1021;Mountain Bikes;Trail;Pathfinder 1000;Agile Trail Bike For All Skill Levels;1100.00;24.0;M;2021;3021;21/03/2023;Shipped;2;2200.00;Credit Card
1022;Mountain Bikes;Trail;Pathfinder 2000;High-Performance Trail Bike;1400.00;21.0;L;2022;3022;22/03/2023;Processing;1;1400.00;PayPal
1023;Road Bikes;Touring;Voyager 1000;Comfortable Touring Road Bike;1700.00;20.0;M;2023;3023;23/03/2023;Cancelled;3;5100.00;Credit Card
1024;Road Bikes;Touring;Voyager 2000;Advanced Touring Road Bike;2000.00;18.0;L;2024;3024;24/03/2023;Shipped;1;2000.00;Credit Card
1025;Touring Bikes;Adventure;Adventurer 1000;Durable Bike For Long Adventures;1500.00;28.0;M;2025;3025;25/03/2023;Processing;2;3000.00;PayPal
1026;Touring Bikes;Adventure;Adventurer 2000;Premium Adventure Touring Bike;1800.00;26.0;L;2026;3026;26/03/2023;Shipped;1;1800.00;Credit Card
1027;Mountain Bikes;Enduro;EnduroMaster 1000;Endurance-Focused Mountain Bike;2300.00;30.0;S;2027;3027;27/03/2023;Shipped;2;4600.00;PayPal
1028;Mountain Bikes;Enduro;EnduroMaster 2000;High-Performance Enduro Mountain Bike;2600.00;28.0;L;2028;3028;28/03/2023;Processing;1;2600.00;Credit Card
1041;Mountain Bikes;Fat Bikes;FatTrail 1000;All-Terrain Fat Bike;1300.00;32.0;M;2041;3041;11/03/2023;Shipped;2;2600.00;Credit Card
1042;Mountain Bikes;Fat Bikes;FatTrail 2000;High-Performance Fat Bike;1600.00;29.0;L;2042;3042;12/03/2023;Processing;1;1600.00;PayPal
1043;Road Bikes;Cyclocross;CrossRider 1000;Versatile Cyclocross Bike;1900.00;21.0;M;2043;3043;13/03/2023;Cancelled;3;5700.00;Credit Card
1044;Road Bikes;Cyclocross;CrossRider 2000;Advanced Cyclocross Bike;2200.00;19.0;L;2044;3044;14/03/2023;Shipped;1;2200.00;Credit Card
